Response ID,Time Started,Date Submitted,Status,Language,Referer,Extended Referer,User Agent,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,What is your gender?,What is the highest level of education you have achieved?,How old are you?,Treatment/control,Please watch the following short video.,Please watch the following short video.,"On a scale from 0-100, how interested in politics are you?"
27,11/13/15 18:56,11/13/15 18:57,Complete,English,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safa",86.145.57.15,-2.124900103,50.78960037,United Kingdom,Blandford Forum,D6,DT11,Female,"Some college, no degree",18-24,,,,100
28,11/13/15 22:35,11/13/15 22:36,Complete,English,,,"Mozilla/5.0 (Linux; Android 5.0; SM-G900FD Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) Chro",92.96.96.133,54.36669922,24.4666996,United Arab Emirates,Abu Dhabi,1,,Female,Post-graduate degree,35-54,Control,,,75
29,11/14/15 6:25,11/14/15 6:26,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",152.78.0.195,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Female,Graduated high school or equivalent,18-24,Treatment,,,70
30,11/14/15 7:58,11/14/15 8:01,Complete,English,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2",152.78.0.167,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Female,Graduated high school or equivalent,18-24,Treatment,,,80
31,11/14/15 11:38,11/14/15 11:45,Complete,English,,,"Mozilla/5.0 (Linux; Android 5.0.1; GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chr",92.96.113.20,54.36669922,24.4666996,United Arab Emirates,Abu Dhabi,1,,Male,Post-graduate degree,35-54,Treatment,,,100
32,11/14/15 11:49,11/14/15 11:50,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_3 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Mob",85.255.234.25,-0.129999995,51.5,United Kingdom,,,,Male,Bachelor's degree,35-54,Treatment,,,100
33,11/14/15 12:11,11/14/15 12:14,Complete,English,https://www.facebook.com/,https://www.facebook.com/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safar",86.188.48.183,-1.33039999,51.41630173,United Kingdom,Newbury,P4,RG14,Female,Graduated high school or equivalent,18-24,Treatment,,,100
34,11/14/15 12:22,11/14/15 12:24,Complete,English,,,Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0,86.145.57.15,-2.124900103,50.78960037,United Kingdom,Blandford Forum,D6,DT11,Female,Graduated high school or equivalent,35-54,Control,,,69
36,11/14/15 13:27,11/14/15 13:29,Complete,English,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi",81.158.27.192,-0.100000001,52.41669846,United Kingdom,Bury,C3,PE26,Male,Post-graduate degree,55+,Control,,,82
38,11/14/15 22:44,11/14/15 22:46,Complete,English,,,"Mozilla/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Mobile/11B55",143.167.166.50,-1.5,53.36669922,United Kingdom,Sheffield,L9,S11,Male,Bachelor's degree,35-54,Treatment,,,67
41,11/15/15 8:55,11/15/15 8:55,Complete,English,,,"Mozilla/5.0 (X11; CrOS x86_64 7390.61.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.71 ",152.78.0.207,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,,,,Control,,,
43,11/16/15 6:36,11/16/15 7:17,Complete,English,http://www.surveygizmo.com/s3/2444185/f0c2b1b66f43,http://www.surveygizmo.com/s3/2444185/f0c2b1b66f43,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) CriOS/",152.78.1.69,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Female,Bachelor's degree,under 18,Treatment,,,17
44,11/16/15 7:41,11/16/15 7:43,Complete,English,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safa",86.150.233.192,-0.615400016,51.55479813,United Kingdom,Slough,M1,SL2,Female,Graduated high school or equivalent,18-24,Control,,,65
45,11/16/15 15:49,11/16/15 15:51,Complete,English,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Vers",10.4.50.188,,,,,,,Female,"Some college, no degree",18-24,Control,,,93
46,11/17/15 6:40,11/17/15 6:41,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2",79.173.162.50,-0.093099996,51.5141983,United Kingdom,London,H9,EC4N,Male,Post-graduate degree,25-34,Control,,,90
47,11/17/15 6:46,11/17/15 6:46,Complete,English,,,"Mozilla/5.0 (Linux; Android 5.0.1; HTC One_M8 Build/LRX22C; wv) AppleWebKit/537.36 (KHTML, like Geck",152.78.0.184,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Male,Associate degree,18-24,Treatment,,,71
48,11/17/15 6:47,11/17/15 6:47,Complete,English,,,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .N,32.58.234.250,-81.73290253,28.02219963,United States,,FL,,Male,Bachelor's degree,18-24,Treatment,,,80
49,11/17/15 6:48,11/17/15 6:49,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2",50.164.49.83,-77.90209961,40.79750061,United States,State College,PA,16803,Male,Post-graduate degree,35-54,Treatment,,,74
50,11/17/15 6:51,11/17/15 6:52,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",152.78.0.156,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Male,"Some college, no degree",18-24,Control,,,100
51,11/17/15 8:20,11/17/15 8:20,Complete,English,,,"Mozilla/5.0 (Linux; Android 5.0; LG-D855 Build/LRX21R.A1431991532; wv) AppleWebKit/537.36 (KHTML, li",152.78.0.189,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Male,"Some college, no degree",18-24,Control,,,84
52,11/17/15 9:45,11/17/15 9:46,Complete,English,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safa",152.78.215.23,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Male,"Some college, no degree",18-24,Treatment,,,100
53,11/17/15 11:51,11/17/15 11:53,Complete,English,,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safar",139.222.182.113,1.299999952,52.63330078,United Kingdom,Norwich,I9,NR2,Female,"Some college, no degree",18-24,Control,,,85
54,11/17/15 13:32,11/17/15 13:33,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",152.78.0.164,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Male,"Some college, no degree",18-24,Treatment,,,
55,11/17/15 13:33,11/17/15 13:35,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",152.78.0.164,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Female,"Some college, no degree",18-24,Control,,,55
56,11/17/15 13:35,11/17/15 13:36,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",152.78.0.164,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Male,"Some college, no degree",18-24,Control,,,20
57,11/17/15 13:36,11/17/15 13:37,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",152.78.0.164,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Female,"Some college, no degree",18-24,Control,,,0
58,11/17/15 13:38,11/17/15 13:41,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",152.78.0.164,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Male,"Some college, no degree",18-24,Treatment,,,80
59,11/17/15 16:27,11/17/15 16:27,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,90.217.103.237,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Male,Graduated high school or equivalent,18-24,Control,,,80
60,11/18/15 5:56,11/18/15 5:57,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",86.24.127.175,-0.100400001,51.24060059,United Kingdom,Redhill,N7,RH1,Female,Associate degree,18-24,Treatment,,,70
61,11/18/15 9:13,11/18/15 9:14,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safar",86.130.24.64,-2.649399996,51.20940018,United Kingdom,Wells,M3,BA5,Female,"Some college, no degree",18-24,Treatment,,,74
62,11/18/15 19:02,11/18/15 19:03,Complete,English,https://t.co/JUK9bPJkOG,https://t.co/JUK9bPJkOG,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.",81.106.33.33,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Female,Post-graduate degree,25-34,Control,,,100
63,11/19/15 6:16,11/19/15 6:17,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mob",31.205.68.180,-1.383299947,50.90000153,United Kingdom,Southampton,M4,SO14,Female,"Some college, no degree",18-24,Control,,,14
64,11/19/15 6:38,11/19/15 6:39,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",152.78.0.200,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,Female,Graduated high school or equivalent,18-24,Control,,,25
65,11/19/15 6:39,11/19/15 6:41,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile",128.243.2.139,-1.166700006,52.96670151,United Kingdom,Nottingham,J8,NG1,Female,Graduated high school or equivalent,18-24,Control,,,40
66,11/19/15 6:44,11/19/15 6:46,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_0_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mob",213.104.225.61,-1.149700046,50.78839874,United Kingdom,Gosport,F2,PO12,Female,Post-graduate degree,18-24,Treatment,,,30
67,11/19/15 7:00,11/19/15 7:01,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",194.81.33.118,-3,53.41669846,United Kingdom,Liverpool,H8,L1,Female,Graduated high school or equivalent,18-24,Control,,,69
68,11/19/15 7:04,11/19/15 7:05,Complete,English,,,"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-G900F Build/LRX21T) AppleWebKit/537.36 (KHTML, like Geck",94.197.121.249,-0.129999995,51.5,United Kingdom,,,,Male,"Some college, no degree",under 18,Control,,,78
69,11/19/15 7:09,11/19/15 7:11,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobi",10.1.24.52,,,,,,,Female,"Some college, no degree",35-54,Control,,,39
70,11/19/15 7:51,11/19/15 7:53,Complete,English,,,Mozilla/5.0 (Linux; U; Android 4.3; en-gb; SAMSUNG GT-I9300/I9300XXUGNH4 Build/JSS15J) AppleWebKit/5,86.150.116.7,-0.712199986,50.7765007,United Kingdom,Bognor Regis,P6,PO21,Female,Associate degree,18-24,Treatment,,,15
71,11/19/15 8:06,11/19/15 8:07,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",213.205.194.80,-0.466699988,51.36669922,United Kingdom,Weybridge,N7,KT13,Female,"Some college, no degree",35-54,Treatment,,,87
72,11/19/15 9:04,11/19/15 9:06,Complete,English,https://m.facebook.com/,https://m.facebook.com/,"Mozilla/5.0 (Linux; Android 4.4.2; GT-I9505 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chr",188.29.164.92,-0.093099996,51.5141983,United Kingdom,London,H9,EC4N,Female,"Some college, no degree",under 18,Control,,,80
73,11/19/15 9:06,11/19/15 9:07,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",149.254.235.142,-2.216700077,53.5,United Kingdom,Manchester,I2,M40,Female,Bachelor's degree,18-24,Treatment,,,19
74,11/19/15 9:20,11/19/15 9:22,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",10.4.159.51,,,,,,,Female,"Some college, no degree",18-24,Treatment,,,10
75,11/19/15 9:38,11/19/15 9:40,Complete,English,,,"Mozilla/5.0 (Linux; Android 4.4.2; HTC Desire 610 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Geck",82.19.252.62,-1.149700046,50.78839874,United Kingdom,Gosport,F2,PO12,Female,"Some college, no degree",18-24,Treatment,,,71
76,11/19/15 9:59,11/19/15 10:02,Complete,English,,,"Mozilla/5.0 (Linux; U; Android 4.1.2; en-gb; GT-S5310G Build/JZO54K) AppleWebKit/534.30 (KHTML, like",194.74.3.130,-0.129999995,51.5,United Kingdom,,,,Female,"Some college, no degree",18-24,Treatment,,,97
77,11/19/15 10:04,11/19/15 10:04,Complete,English,https://www.facebook.com/,https://www.facebook.com/,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safa",213.104.231.111,-1.175600052,50.82709885,United Kingdom,Gosport,F2,PO13,Female,"Some college, no degree",18-24,Control,,,0
78,11/19/15 10:07,11/19/15 10:08,Complete,English,https://m.facebook.com/,https://m.facebook.com/,"Mozilla/5.0 (Linux; Android 5.0.2; XT1068 Build/LXB22.99-16.3) AppleWebKit/537.36 (KHTML, like Gecko",148.197.129.215,-1.083299994,50.79669952,United Kingdom,Portsmouth,K6,PO5,Female,12th grade or less,18-24,Treatment,,,0
79,11/19/15 10:44,11/19/15 10:45,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",82.8.158.106,-1.233299971,50.81669998,United Kingdom,Fareham,F2,PO14,Female,"Some college, no degree",18-24,Control,,,38
80,11/19/15 10:57,11/19/15 10:58,Complete,English,http://m.facebook.com/,http://m.facebook.com/,"Mozilla/5.0 (Linux; Android 4.4.2; LG-D802 Build/KOT49I.D80220h) AppleWebKit/537.36 (KHTML, like Gec",137.222.114.245,-2.583300114,51.45000076,United Kingdom,Bristol,B7,BS1,Female,Graduated high school or equivalent,18-24,Treatment,,,20
81,11/19/15 11:07,11/19/15 11:08,Complete,English,http://m.facebook.com/,http://m.facebook.com/,"Mozilla/5.0 (Linux; Android 5.1.1; D6603 Build/23.4.A.1.232; wv) AppleWebKit/537.36 (KHTML, like Gec",2.220.151.211,-2.099999905,57.13330078,United Kingdom,Aberdeen,T5,AB10,Female,"Some college, no degree",18-24,Control,,,65
82,11/19/15 11:18,11/19/15 11:20,Complete,English,http://m.facebook.com,http://m.facebook.com,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil",5.70.183.52,-1.083299994,50.79669952,United Kingdom,Portsmouth,K6,PO5,Female,12th grade or less,under 18,Control,,,11
83,11/19/15 12:13,11/19/15 12:14,Complete,English,https://www.facebook.com/,https://www.facebook.com/,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safa",213.104.231.111,-1.175600052,50.82709885,United Kingdom,Gosport,F2,PO13,Female,"Some college, no degree",55+,Treatment,,,19
85,11/19/15 12:52,11/19/15 12:53,Complete,English,http://l.facebook.com/l.php?u=http%3A%2F%2Fj.mp%2Fstudent-research-survey&h=-AQGex0s2&s=1,http://l.facebook.com/l.php?u=http%3A%2F%2Fj.mp%2Fstudent-research-survey&h=-AQGex0s2&s=1,Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0,86.190.236.136,-1.149700046,50.78839874,United Kingdom,Gosport,F2,PO12,Male,Graduated high school or equivalent,under 18,Treatment,,,60
86,11/19/15 12:56,11/19/15 12:57,Complete,English,http://m.facebook.com/,http://m.facebook.com/,"Mozilla/5.0 (Linux; Android 5.0; SM-G900F Build/LRX21T; wv) AppleWebKit/537.36 (KHTML, like Gecko) V",82.26.109.41,-1.039199948,50.78649902,United Kingdom,Southsea,K6,PO4,Female,"Some college, no degree",25-34,Treatment,,,23
87,11/19/15 13:20,11/19/15 13:21,Complete,English,http://m.facebook.com/,http://m.facebook.com/,"Mozilla/5.0 (Linux; Android 5.0.2; SM-A500FU Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko",5.64.28.151,-1.133299947,50.79999924,United Kingdom,Gosport,F2,PO12,Male,Graduated high school or equivalent,18-24,Treatment,,,0
88,11/19/15 14:00,11/19/15 14:02,Complete,English,,,"Mozilla/5.0 (Linux; Android 5.0.1; GT-I9505 Build/LRX22C) AppleWebKit/537.36 (KHTML, like Gecko) Chr",86.31.39.204,-0.187099993,51.7969017,United Kingdom,Welwyn Garden City,F8,AL7,Male,,under 18,Treatment,,,50
89,11/19/15 14:20,11/19/15 14:21,Complete,English,,,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,86.31.39.204,-0.187099993,51.7969017,United Kingdom,Welwyn Garden City,F8,AL7,Female,Bachelor's degree,35-54,Control,,,
90,11/19/15 15:12,11/19/15 15:13,Complete,English,http://m.facebook.com/,http://m.facebook.com/,"Mozilla/5.0 (Linux; U; Android 4.3; en-gb; GT-I9300 Build/JSS15J) AppleWebKit/534.30 (KHTML, like Ge",213.104.227.61,-1.149700046,50.78839874,United Kingdom,Gosport,F2,PO12,Female,"Some college, no degree",18-24,Treatment,,,0
91,11/19/15 15:33,11/19/15 15:35,Complete,English,,,"Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mob",86.31.39.204,-0.187099993,51.7969017,United Kingdom,Welwyn Garden City,F8,AL7,Male,Bachelor's degree,55+,Control,,,90
92,11/19/15 15:35,11/19/15 15:37,Complete,English,,,"Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mob",86.31.39.204,-0.187099993,51.7969017,United Kingdom,Welwyn Garden City,F8,AL7,Male,Graduated high school or equivalent,18-24,Treatment,,,90
