"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","What is your gender?","What is the highest level of education you have achieved?","How old are you?","Treatment/control","Please watch the following short video.","Please watch the following short video.","On a scale from 0-100, how interested in politics are you?"
"6","2015-11-13 14:14:27","2015-11-13 14:14:46","Partial","","","","English","","","1447442067_56463693b35c66.05792799","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1","","212.183.128.153","-0.12999999523163","51.5","United Kingdom","","","","Female","Some college, no degree","18-24","Treatment","","",""
"7","2015-11-13 14:20:09","2015-11-13 14:20:50","Partial","","","","English","","","1447442408_564637e8f2b417.48194782","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1","","152.78.0.164","-1.3999999761581","50.900001525879","United Kingdom","Southampton","M4","SO15","Female","Graduated high school or equivalent","18-24","Control","","",""
"8","2015-11-13 14:25:48","2015-11-13 14:28:09","Complete","","","","English","","","1447442748_5646393c59b697.62840564","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1","","152.78.0.169","-1.3999999761581","50.900001525879","United Kingdom","Southampton","M4","SO15","Male","Some college, no degree","18-24","Treatment","","","70"
"9","2015-11-13 14:26:03","2015-11-13 14:27:19","Complete","","","","English","","","1447442763_5646394b6db124.84392208","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Vers","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H321 Safari/600.1.4","","152.78.0.168","-1.3999999761581","50.900001525879","United Kingdom","Southampton","M4","SO15","Female","Bachelor's degree","18-24","Treatment","","","100"
"10","2015-11-13 14:38:14","2015-11-13 14:40:12","Complete","","","","English","http://m.facebook.com","http://m.facebook.com","1447443494_56463c26a53f66.13811087","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13B143 [FBAN/MessengerForiOS;FBAV/48.0.0.20.47;FBBV/17291106;FBDV/iPhone5,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.1;FBSS/2; FBCR/EE;FBID/phone;FBLC/en_GB;FBOP/5]","","152.78.0.165","-1.3999999761581","50.900001525879","United Kingdom","Southampton","M4","SO15","Male","Some college, no degree","18-24","Control","","",""
"11","2015-11-13 14:38:22","2015-11-13 14:39:26","Complete","","","","English","","","1447443502_56463c2e18b433.93495807","Mozilla/5.0 (Linux; Android 5.1; XT1032 Build/LPB23.13-56) AppleWebKit/537.36 (KHTML, like Gecko) Ch","Mozilla/5.0 (Linux; Android 5.1; XT1032 Build/LPB23.13-56) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36","","152.78.0.207","-1.3999999761581","50.900001525879","United Kingdom","Southampton","M4","SO15","Female","Some college, no degree","18-24","Control","","","21"
"12","2015-11-13 14:39:16","2015-11-13 14:39:47","Complete","","","","English","https://www.facebook.com/","https://www.facebook.com/","1447443556_56463c64a9d411.50309340","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7","","152.78.0.138","-1.3999999761581","50.900001525879","United Kingdom","Southampton","M4","SO15","Female","Some college, no degree","18-24","Control","","","56"
"13","2015-11-13 14:53:33","2015-11-13 14:54:42","Complete","","","","English","https://www.facebook.com/","https://www.facebook.com/","1447444413_56463fbdadc9e6.85886491","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safa","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36","","152.78.0.184","-1.3999999761581","50.900001525879","United Kingdom","Southampton","M4","SO15","Male","Graduated high school or equivalent","18-24","Control","","","21"
"14","2015-11-13 15:15:28","2015-11-13 15:16:04","Complete","","","","English","","","1447445728_564644e0548953.72193256","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36","","86.26.145.248","0.13549999892712","51.947498321533","United Kingdom","Bishops Stortford","F8","CM23","Female","Some college, no degree","18-24","Treatment","","","93"
"15","2015-11-13 15:16:26","2015-11-13 15:16:50","Partial","","","","English","","","1447445786_5646451ada89c6.70346731","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safar","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36","","152.78.0.159","-1.3999999761581","50.900001525879","United Kingdom","Southampton","M4","SO15","Male","Bachelor's degree","18-24","Control","","",""
